PR;371540;BUREAU DE POSTE MONTBAZON BP;2 PLACE BRENTWOOD;;;;37250;MONTBAZON;47.286564;0.712946;;BPR;20;;;
PR;371560;BUREAU DE POSTE MONTLOUIS SUR LOIRE;5 PLACE DU 11 NOVEMBRE;;;;37270;MONTLOUIS SUR LOIRE;47.387736;0.827078;1;BPR;20;;;
PR;371570;BUREAU DE POSTE MONTRESOR BP;3 IMPASSE DE LA RONDE;;;;37460;MONTRESOR;47.1528   ;1.19616   ;;BPR;20;;;
PR;371590;BUREAU DE POSTE MONTS;59 RUE DU VAL DE L INDRE;;;;37260;MONTS;47.2824   ;0.651445  ;;BPR;20;;;
PR;371630;BUREAU DE POSTE NAZELLES NEGRON BP;RUE LOUIS VISET;;;;37530;NAZELLES NEGRON;47.431887;0.952066;;BPR;20;;;
PR;371670;BUREAU DE POSTE NEUILLE PONT PIERRE BP;18 AVENUE DU GENERAL DE GAULLE;;;;37360;NEUILLE PONT PIERRE;47.547567;0.551532;1;BPR;20;;;
PR;371700;BUREAU DE POSTE NEUVY LE ROI BP;PLACE DU MAIL;;;;37370;NEUVY LE ROI;47.6031   ;0.593868  ;;BPR;20;;;
PR;011330;MONTREAL LA CLUSE PDC1;104 AVENUE DE BRESSE;;;;01460;MONTREAL LA CLUSE;46.1752741;5.5623235;1;CDI;30;;;
PR;371720;BUREAU DE POSTE NOTRE DAME D OE BP;5 PLACE LEOPOLD SEDAR SENGHOR;;;;37390;NOTRE DAME D OE;47.45453;0.708288;1;BPR;20;;;
PR;371740;BUREAU DE POSTE NOUATRE BP;RUE LOUIS BAILLY;;;;37800;NOUATRE;47.0507   ;0.554363  ;;BPR;20;;;
PR;371790;BUREAU DE POSTE PARCAY MESLAY BP;56 RUE DE LA MAIRIE;;;;37210;PARCAY MESLAY;47.4409   ;0.745109  ;;BPR;20;;;
PR;371830;BUREAU DE POSTE PERRUSSON BP;2 PLACE DE LA MAIRIE;;;;37600;PERRUSSON;47.100074;1.013832;;BPR;20;;;
PR;050850;BUREAU DE POSTE MONTGENEVRE BP;1 RUE DE L EGLISE;LA VOIE ROMAINE;;;05100;MONTGENEVRE;44.9313   ;6.71883   ;;BPR;20;;;
PR;371850;BUREAU DE POSTE POCE SUR CISSE BP;20 RTE DE SAINT OUEN LES VIGNES;;;;37530;POCE SUR CISSE;47.444252;0.990424;;BPR;20;;;
PR;371880;BUREAU DE POSTE POUZAY BP;23 RUE DES ECOLES;;;;37800;POUZAY;47.0815   ;0.534345  ;;BPR;20;;;
PR;371890;BUREAU DE POSTE PREUILLY SUR CLAISE BP;PLACE DE L HOTEL DE VILLE;;;;37290;PREUILLY SUR CLAISE;46.8545;0.929065;;BPR;20;;;
PR;371920;BUREAU DE POSTE REIGNAC SUR INDRE BP;11 RUE DES SABOTIERS;;;;37310;REIGNAC SUR INDRE;47.2249   ;0.918127  ;;BPR;20;;;
PR;371930;BUREAU DE POSTE RESTIGNE BP;4 ROUTE DE TOURS;;;;37140;RESTIGNE;47.283414;0.22832;;BPR;20;;;
PR;371940;BUREAU DE POSTE REUGNY BP;12 RUE DE LA POSTE;;;;37380;REUGNY;47.4824   ;0.88307   ;;BPR;20;;;
PR;371950;BUREAU DE POSTE LA RICHE;AVENUE FRANCOIS MITTERAND;;;;37520;LA RICHE;47.3885   ;0.656757  ;;BPR;20;;;
PR;371960;BUREAU DE POSTE RICHELIEU;23 PLACE DU MARCHE;;;;37120;RICHELIEU;47.0122   ;0.323493  ;;BPR;20;;;
PR;372000;BUREAU DE POSTE RIVARENNES BP;1 PLACE DU 8 MAI 1945;;;;37190;RIVARENNES;47.2661   ;0.353464  ;;BPR;20;;;
PR;372030;BUREAU DE POSTE ROCHECORBON BP;PLACE DU 8 MAI 1945;;;;37210;ROCHECORBON;47.414286;0.754838;1;BPR;20;;;
PR;372080;BUREAU DE POSTE SAINT AVERTIN;1 PLACE DE LA MARNE;;;;37550;ST AVERTIN;47.3683   ;0.727649  ;1;BPR;20;;;
PR;372110;BUREAU DE POSTE SAINT BRANCHS BP;8 RUE DE LA POSTE;;;;37320;ST BRANCHS;47.2282   ;0.771644  ;;BPR;20;;;
PR;372180;BUREAU DE POSTE SAINT FLOVIER BP;PLACE DE L EGLISE;;;;37600;ST FLOVIER;46.9686   ;1.02674   ;;BPR;20;;;
PR;372250;BUREAU DE POSTE SAINT MARTIN LE BEAU BP;RUE DE TOURS;;;;37270;ST MARTIN LE BEAU;47.356095;0.906485;;BPR;20;;;
PR;372260;BUREAU DE POSTE SAINTE MAURE DE TOURAINE;36 PLACE DU MARECHAL LECLERC;;;;37800;STE MAURE DE TOURAINE;47.1123   ;0.619696  ;;BPR;20;;;
